mov_id,fecha,mes,anio,cuenta_id,contraparte_id,categoria_id,instrumento_id,descripcion,monto,moneda,tasa_cambio
20250406-002,2025-04-06,4,2025,,,,INS_037,"Compra de aguas, 42 en total",29053,CLP,
20250408-003,2025-04-08,4,2025,,CTR_001,,,Compra de 6 aguas,6000,CLP,
20250408-004,2025-04-08,4,2025,,,,INS_037,Compra de 6 aguas,-6000,CLP,
20250406-003,2025-04-06,4,2025,,CTR_025,,,Compra de bebidas de Mini Empresa,54000,CLP,
20250406-004,2025-04-06,4,2025,,,,INS_001,Compra de bebidas de Mini Empresa,-54000,CLP,
20250406-005,2025-04-06,4,2025,,,,INS_001,Pago de suscripción de Spotify,-7050,CLP,
20250406-006,2025-04-06,4,2025,,,,INS_016,Pago de suscripción de Spotify,7050,CLP,
20250406-007,2025-04-06,4,2025,,CTR_025,,,Compra de pasaje a santiago,6400,CLP,
20250406-008,2025-04-06,4,2025,,,,INS_001,Compra de pasaje a santiago,-6400,CLP,
20250407-011,2025-04-07,4,2025,,CTR_025,,,Compra de pasaje de bus,6918,CLP,
20250407-012,2025-04-07,4,2025,,,,INS_001,Compra de pasaje de bus,-6918,CLP,
20250408-005,2025-04-08,4,2025,CTA_003,,,,Pago de CMR Falabella,-50000,CLP,
20250408-006,2025-04-08,4,2025,,,,INS_001,Pago de CMR Falabella,50000,CLP,
20250408-007,2025-04-08,4,2025,,,CAT_013,,Compra de entradas a Cine,8400,CLP,
20250408-008,2025-04-08,4,2025,,,,INS_001,Compra de entradas a Cine,-8400,CLP,
20250409-003,2025-04-09,4,2025,,CTR_001,,,Abono en Lotería,3500,CLP,
20250409-004,2025-04-09,4,2025,,,,INS_001,Abono en Lotería,-3500,CLP,
20250406-009,2025-04-06,4,2025,,CTR_001,,,Carga de combustible Copec,30000,CLP,
20250406-010,2025-04-06,4,2025,,,,INS_001,Carga de combustible Copec,-30000,CLP,
20250406-011,2025-04-06,4,2025,CTA_010,,,,Compra de mercadería,-36560,CLP,
20250406-012,2025-04-06,4,2025,,CTR_001,,,Compra de mercadería,36560,CLP,
20250402-023,2025-04-02,4,2025,,,,INS_002,Compra de medicamentos,-55780,CLP,
20250402-024,2025-04-02,4,2025,,,,INS_030,Compra de medicamentos,55780,CLP,
20250402-025,2025-04-02,4,2025,,CTR_001,,,Compra de Potasio y Vitamina C,7880,CLP,
20250402-026,2025-04-02,4,2025,,,,INS_030,Compra de Potasio y Vitamina C,-7880,CLP,
20250402-027,2025-04-02,4,2025,,,CAT_007,,Compra de Coenzima Q10 y Vitamina D,47900,CLP,
20250402-028,2025-04-02,4,2025,,,,INS_030,Compra de Coenzima Q10 y Vitamina D,-47900,CLP,
20250405-017,2025-04-05,4,2025,,,CAT_002,,Compra de Audifonos XM4 en 6 cuotas,189990,CLP,
20250405-018,2025-04-05,4,2025,,,,INS_002,Compra de Audifonos XM4 en 6 cuotas,-189990,CLP,
20250408-009,2025-04-08,4,2025,,,CAT_003,,Compra de helado,1090,CLP,
20250408-010,2025-04-08,4,2025,,,,INS_002,Compra de helado,-1090,CLP,
20250327-007,2025-03-27,3,2025,,,CAT_019,,Pago de impuestos e intereses,89,CLP,
20250327-008,2025-03-27,3,2025,,,,INS_002,Pago de impuestos e intereses,-89,CLP,
20250409-005,2025-04-09,4,2025,,,CAT_030,,Diferencia de pesos,-191,CLP,
20250409-006,2025-04-09,4,2025,,,,INS_002,Diferencia de pesos,191,CLP,
20250410-001,2025-04-10,4,2025,,,CAT_026,,Pago de remanente 2025,-27103,CLP,
20250410-002,2025-04-10,4,2025,CTA_006,,,,Pago de remanente 2025,27103,CLP,
20250410-003,2025-04-10,4,2025,,,CAT_003,,Compra de helado,1090,CLP,
20250410-004,2025-04-10,4,2025,,,,INS_001,Compra de helado,-1090,CLP,
20250411-001,2025-04-11,4,2025,,,,INS_001,Viaje en Uber con Camilo,-8344,CLP,
20250411-002,2025-04-11,4,2025,,,,INS_030,Viaje en Uber con Camilo,8344,CLP,
20250411-003,2025-04-11,4,2025,,,,INS_001,Pago de Max,-9990,CLP,
20250411-004,2025-04-11,4,2025,,,,INS_016,Pago de Max,9990,CLP,
20250411-005,2025-04-11,4,2025,,CTR_013,,,Cobro de Viaje de Uber,4172,CLP,
20250411-006,2025-04-11,4,2025,,,,INS_030,Cobro de Viaje de Uber,-4172,CLP,
20250411-007,2025-04-11,4,2025,,,CAT_008,,Pago de uber,4172,CLP,
20250411-008,2025-04-11,4,2025,,,,INS_030,Pago de uber,-4172,CLP,
20250410-005,2025-04-10,4,2025,CTA_004,,,,Pago de 6 botellas de Cachantun,7316,CLP,
20250410-006,2025-04-10,4,2025,,CTR_001,,,Pago de 6 botellas de Cachantun,-7316,CLP,
20250411-009,2025-04-11,4,2025,CTA_003,,,,Traspaso de Fondos,70000,CLP,
20250411-010,2025-04-11,4,2025,CTA_004,,,,Traspaso de Fondos,-70000,CLP,
20250411-011,2025-04-11,4,2025,CTA_003,,,,Traspaso de Fondos,30000,CLP,
20250411-012,2025-04-11,4,2025,CTA_004,,,,Traspaso de Fondos,-30000,CLP,
20250414-001,2025-04-14,4,2025,CTA_004,,,,Compra de Stickers,-15422,CLP,
20250414-002,2025-04-14,4,2025,,CTR_025,,,Compra de Stickers,15422,CLP,
20250411-013,2025-04-11,4,2025,CTA_003,,,,Pago de salida con Amigos,-54020,CLP,
20250411-014,2025-04-11,4,2025,,,,INS_030,Pago de salida con Amigos,54020,CLP,
20250411-015,2025-04-11,4,2025,,CTR_008,,,Cobro de comida en salida,14677,CLP,
20250411-016,2025-04-11,4,2025,,,,INS_030,Cobro de comida en salida,-14677,CLP,
20250411-017,2025-04-11,4,2025,,,CAT_003,,Pago de salida con amigos,5580,CLP,
20250411-018,2025-04-11,4,2025,,,,INS_030,Pago de salida con amigos,-5580,CLP,
